year,Summer_Benthic_Invertebrate_Density_SEBS_Tanner_Survey,Summer_Cold_Pool_SEBS_Tanner_Survey,Summer_Temperature_Bottom_Tanner_Survey,Summer_Tanner_Male_Area_Occupied_SEBS_Survey,Summer_Tanner_Juvenile_Disease_Prevalence,Summer_Tanner_Male_Center_Distribution_SEBS_Survey,Summer_Tanner_Juvenile_Temperature_Occupancy,Annual_Tanner_Size_Terminal_Molt_Model,AMJ_Chlorophylla_Biomass_Tanner_Satellite,Summer_Pacific_Cod_Density_Tanner_Survey
1988,6496.274134010752,56942,2.136684782608696,31679,NA,-164.455605266811,2.64922165491762,NA,NA,2681.06741919355
1989,6532.248013870968,29674,2.884764542936288,32882,0.204070160423179,-164.909719010923,2.7569091707236,NA,NA,2361.55887706452
1990,6206.592891010695,45313,2.097068403908795,36090,0.660564372427403,-166.243610583388,2.85548454111385,110.7292817,NA,1844.98092695722
1991,5731.489790790322,40501,2.4874626865671643,37694,0.238774326382613,-165.657899714481,3.08964329782108,118.4991066,NA,1268.9360476828
1992,5876.312474741935,60551,1.631012658227848,35689,1.21143454785075,-165.32330705628,2.61736980322034,105.5687451,NA,1251.80612112366
1993,5835.717079532258,35288,2.8414414414414413,44511,1.15881836075395,-164.760137202018,3.45704226115432,102.5603776,NA,1522.3532134086
1994,5698.984977828877,54135,1.6144827586206896,42907,0.0622805619658755,-165.945980348062,2.81852236750905,97.2130467,NA,2779.61359826738
1995,6297.992269026738,71378,1.524715909090909,34486,1.58509535669702,-166.334868812619,2.40510344715204,96.50635064,NA,2647.44616004278
1996,7486.175656566845,27669,3.28121546961326,28872,0.593454768380546,-165.662205559764,3.22862345806339,102.161366,NA,2112.61316430481
1997,8699.579548262032,43308,2.6290960451977403,20050,1.13846780902206,-164.396027574879,2.85519830873346,111.4776099,NA,1458.40288708021
1998,6047.27647916129,25664,3.113714285714286,39699,0.397527334451436,-166.628942209972,3.56191236462338,99.94507567,1.8,1040.99498567204
1999,5593.273636882353,99047,0.7126801152737752,26065,0.0327971806898159,-165.053953468945,2.36017332552299,109.2118088,1.79,1581.99211273797
2000,6661.7528932419355,59749,2.007780979827089,30075,0.109558415166366,-164.944234339382,2.85321973493504,107.5251126,1.72,1144.48156587097
2001,6787.505012941177,45313,2.451388888888889,32481,0.0430543950501062,-165.215555083687,3.62456118943724,109.3248464,2.46,1719.95747891979
2002,6900.234765634408,25664,3.083835616438356,34887,0.520091194216676,-165.918909154082,3.45972365784675,100.6460015,3.43,1097.47196613441
2003,7483.051451582888,13233,3.6836512261580383,34085,1.69707346272574,-165.902761890701,4.34794426796842,102.8801448,2.88,1164.210686
2004,7910.605636327957,24461,3.228142076502732,38496,0.308548711639626,-167.163428721756,3.4399508135006,107.5452434,3.47,1381.81264929032
2005,8075.020159497298,23258,3.258092485549133,45313,0.627508977213886,-167.534095318895,3.46249810814838,96.8836768,2.63,1392.37269877838
2006,7629.10841655615,67769,1.6732432432432431,48120,0.267713292088534,-167.194607334697,1.95911111086022,103.0449426,1.67,1381.01770164171
2007,6733.363226614973,78997,1.5826666666666669,40902,0.0769827001962742,-167.693905014095,1.39012113573658,105.4920578,1.97,985.30265597861
2008,7070.309194347594,96240,1.1016042780748665,47318,0.0145127942106896,-167.089708109082,1.83074568576841,98.34205993,2.38,999.936402604278
2009,6742.717797631016,89824,1.195733333333333,38496,0.128525318422981,-167.452916682191,2.01085241154082,107.4859795,2.66,1202.06361987701
2010,7698.273204315508,74987,1.338666666666667,40902,0.268920882875587,-167.822752256842,1.37595337897113,97.93951806,3.62,2551.45236658289
2011,8564.755693005347,45714,2.312,32882,0.161864362769208,-167.783530308886,2.32874406687561,107.5710101,2.32,1953.77701877005
2012,9076.262920395722,103057,0.8268096514745308,31679,0.00711281073473783,-165.858702400699,0.232514129911067,111.8946902,3.04,1394.54508927807
2013,9829.498160395722,72982,1.637066666666667,27268,0.174880837185511,-165.263182844175,1.4248552669111,NA,2.04,1501.45449980749
2014,8623.772506208556,36491,3.018666666666667,38095,0.385025596423989,-165.765750789629,3.00496173764482,105.4087422,2.45,1565.20458741711
2015,8664.300967406418,34486,3.1336,49323,0.457517433243452,-166.241130480751,4.11109298674757,NA,1.86,2091.63683168449
2016,7644.540147860963,25664,4.210666666666667,52130,1.37171782049165,-167.229551531449,4.53186432591406,99.27425838,1.62,1663.07752822995
2017,9304.823931283425,48120,2.6528,43709,1.20793125522774,-166.575805276114,3.56471560545913,103.506053,1.43,1006.26535272193
2018,7267.668006385027,1604,4.159466666666667,46516,1.85623049464087,-167.727746748146,4.07032168472292,93.48287837,1.54,853.973720304813
2019,6719.698334085561,8020,4.354133333333333,37694,3.59576591630862,-167.084360069692,4.27651728287459,96.11411534,1.62,1007.26744543316
2020,NA,NA,NA,NA,NA,NA,NA,NA,1.77,NA
2021,6704.7208664385025,18446,3.369066666666667,40902,0.470051299264853,-166.984852880115,3.83546889994815,104.6586238,1.41,942.508233074866
2022,7446.468017545454,49724,2.4816,44511,2.05176274667388,-166.134425729359,2.83324316673741,103.98746,1.71,1219.22873344385
2023,6213.048764775401,48922,2.244,54135,1.71092520307158,-167.655602760803,3.19079883707121,94.89606843,1.27,1331.50166619251
2024,6720.298982333333,44511,2.4724928366762176,53333,0.988042017727494,-167.662763082307,2.86095620797901,101.5925718,1.31,1521.4842487076
