"","YEAR","Sab_Hal","Pcod","Skates","Flatfish","Sculpin","Eelpout","Wolfish","Octopus"
"1",1988,276.111079419355,2681.06741919355,4.9925923655914,8978.71448855376,362.810331188172,54.7819450483871,0,34.765891155914
"2",1989,203.218028817204,2361.55887706452,0,7877.98221670968,286.025060510753,59.8052701989247,0,15.7868537580645
"3",1990,193.126893593583,1844.98092695722,0,7869.91302964171,169.924351294118,64.3079310481283,0,39.0437381283422
"4",1991,179.60274827957,1268.9360476828,0,8230.68417454301,350.058218473118,76.4504902150538,0,21.9783313333333
"5",1992,215.614508548387,1251.80612112366,0,8333.02957223118,457.019534236559,64.5040643494624,1.28559745698925,15.7167392526882
"6",1993,317.090200043011,1522.3532134086,0,10310.0552859516,462.742806978495,63.5482191290323,0,3.60686738172043
"7",1994,362.537509171123,2779.61359826738,0,11372.4791511979,488.21712431016,58.6012439411765,0.201147069518717,6.4394379144385
"8",1995,351.416399245989,2647.44616004278,0,9217.39353570053,435.626145224599,37.752442315508,0.378183657754011,7.79300637433155
"9",1996,407.884159673797,2112.61316430481,0.845318989304813,10231.0300385241,407.000512304813,35.0558969518717,0,5.30587681283423
"10",1997,358.250015481283,1458.40288708021,0,10195.1136203262,460.387510593583,42.3946343850267,0,0.555099604278075
"11",1998,431.277197956989,1040.99498567204,6.442123,9309.13881926344,388.918302811828,72.388244483871,3.15248529569892,1.76125303225806
"12",1999,383.480409379679,1581.99211273797,978.798354834225,6821.78824989305,293.913611764706,41.0919274278075,0,3.6967552513369
"13",2000,303.661256634409,1144.48156587097,726.322184,5663.52623636022,263.961791612903,51.5866030376344,0,3.70532116666667
"14",2001,336.915160406417,1719.95747891979,937.243599780749,6537.04791024599,287.377556877005,80.173499,1.20252235828877,3.59580093048128
"15",2002,224.223870860215,1097.47196613441,761.051458930108,6426.24772165591,347.58245938172,50.4123175913979,1.52563345698925,5.32963806451613
"16",2003,245.841599053476,1164.210686,935.315674946524,8548.80295436898,379.248404925134,91.9210135508021,0,23.8061480427807
"17",2004,264.060505591398,1381.81264929032,932.524121688172,9359.51629397312,501.818923736559,70.4240010752688,0,14.2205890053763
"18",2005,285.893952,1392.37269877838,1073.75526627568,9936.94651070811,583.088695372973,63.6368458540541,2.57625918378378,39.0645853297297
"19",2006,371.871451491979,1381.01770164171,1206.53725014439,9228.9501203369,512.834962550802,64.1568611871658,7.02610557219251,5.29563122459893
"20",2007,258.964334641711,985.30265597861,1176.82415299465,7996.9120614492,414.992049540107,33.5323050695187,0,7.4691245026738
"21",2008,263.535187026738,999.936402604278,771.227812379679,8703.25163841711,525.428025673797,15.9841016256684,2.75403606951872,2.83132285026738
"22",2009,492.32839684492,1202.06361987701,867.585366641711,7959.83533052941,365.869835139037,20.458697315508,1.53655438502674,2.99194429946524
"23",2010,375.993209208556,2551.45236658289,721.099628085561,8876.51980038503,371.37127957754,18.4186594278075,1.97226978074866,1.72957750802139
"24",2011,346.493314930481,1953.77701877005,744.26980115508,9054.51995154011,378.082904352941,60.8511743529412,2.99479687700535,9.99836473796791
"25",2012,411.087458909091,1394.54508927807,734.295100379679,8581.09441825134,335.683288871658,37.9354851871658,0.280188497326203,9.2382803368984
"26",2013,323.48254802139,1501.45449980749,797.951883160428,8426.06509996257,228.78711657754,58.9428246417112,0,6.56897082887701
"27",2014,291.72639302139,1565.20458741711,709.431246395722,9121.96107262032,330.723586090909,86.8230878342246,0,8.34036290909091
"28",2015,334.617104315508,2091.63683168449,862.295841433155,6589.08725814439,454.516286759358,84.3825631497326,1.85353611229947,16.6727431764706
"29",2016,298.372428256684,1663.07752822995,1150.79296494652,8385.43662077005,585.300648684492,96.4671145935829,3.08539565775401,29.0359759304813
"30",2017,251.933056122995,1006.26535272193,1063.93241163636,8311.47091875401,487.081905850267,49.5054437860963,1.31929594117647,7.97791585561497
"31",2018,282.678771245989,853.973720304813,1248.86728395722,6755.06393183422,457.97128928877,49.3962563208556,0,14.6386309037433
"32",2019,244.179289465241,1007.26744543316,1214.9916507754,5972.41325934759,588.888306705882,49.6760417379679,0,13.3259520053476
"33",2021,253.29317728877,942.508233074866,1017.24465335294,5436.11284271658,258.303471679144,52.6533514385027,1.20575490909091,20.1103383903743
"34",2022,227.886314096257,1219.22873344385,964.11606028877,7052.59318264171,306.485813085562,54.0304933368984,0,15.3845475935829
"35",2023,297.965378550802,1331.50166619251,1031.00980302674,7308.02878826203,292.451690486631,69.1430944117647,0,7.57986014438503
"36",2024,243.755986274854,1521.4842487076,971.383510812866,6822.62703250292,332.266805590643,132.378561152047,0,4.8477277251462
